tipe_entitas,nama_entitas,tahun,nilai
Kontraktor,Pendopo Energi Batubara (D/H Pt Barito Putra),2004,
Kontraktor,Pendopo Energi Batubara (D/H Pt Barito Putra),2005,
Kontraktor,Pendopo Energi Batubara (D/H Pt Barito Putra),2006,
Kontraktor,Pendopo Energi Batubara (D/H Pt Barito Putra),2007,
Kontraktor,Pendopo Energi Batubara (D/H Pt Barito Putra),2008,
Kontraktor,Pendopo Energi Batubara (D/H Pt Barito Putra),2009,
Kontraktor,Pendopo Energi Batubara (D/H Pt Barito Putra),2010,
Kontraktor,"Perkasa Inakakerta, PT",2003,
Kontraktor,"Perkasa Inakakerta, PT",2004,
Kontraktor,"Perkasa Inakakerta, PT",2005,
Kontraktor,"Perkasa Inakakerta, PT",2006,
Kontraktor,"Perkasa Inakakerta, PT",2007,307561
Kontraktor,"Perkasa Inakakerta, PT",2008,1101785
Kontraktor,"Perkasa Inakakerta, PT",2009,2018909
Kontraktor,"Perkasa Inakakerta, PT",2010,375758
Kontraktor,Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari),2003,
Kontraktor,Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari),2004,
Kontraktor,Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari),2005,
Kontraktor,Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari),2006,
Kontraktor,Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari),2007,
Kontraktor,Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari),2008,
Kontraktor,Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari),2009,38682
Kontraktor,Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari),2010,
Kuasa Pertambangan Swasta,Prov. Bengkulu,2003,
Kuasa Pertambangan Swasta,Prov. Bengkulu,2004,
Kuasa Pertambangan Swasta,Prov. Bengkulu,2005,
Kuasa Pertambangan Swasta,Prov. Bengkulu,2006,
Kuasa Pertambangan Swasta,Prov. Bengkulu,2007,
Kuasa Pertambangan Swasta,Prov. Bengkulu,2008,
Kuasa Pertambangan Swasta,Prov. Bengkulu,2009,523382.29
Kuasa Pertambangan Swasta,Prov. Bengkulu,2010,
Kuasa Pertambangan Swasta,Prov. Jambi,2003,
Kuasa Pertambangan Swasta,Prov. Jambi,2004,
Kuasa Pertambangan Swasta,Prov. Jambi,2005,
Kuasa Pertambangan Swasta,Prov. Jambi,2006,
Kuasa Pertambangan Swasta,Prov. Jambi,2007,
Kuasa Pertambangan Swasta,Prov. Jambi,2008,
Kuasa Pertambangan Swasta,Prov. Jambi,2009,
Kuasa Pertambangan Swasta,Prov. Jambi,2010,
Kuasa Pertambangan Swasta,Prov. Kalimantan Selatan,2003,
Kuasa Pertambangan Swasta,Prov. Kalimantan Selatan,2004,
Kuasa Pertambangan Swasta,Prov. Kalimantan Selatan,2005,
Kuasa Pertambangan Swasta,Prov. Kalimantan Selatan,2006,
Kuasa Pertambangan Swasta,Prov. Kalimantan Selatan,2007,
Kuasa Pertambangan Swasta,Prov. Kalimantan Selatan,2008,
Kuasa Pertambangan Swasta,Prov. Kalimantan Selatan,2009,48006
Kuasa Pertambangan Swasta,Prov. Kalimantan Selatan,2010,
Kuasa Pertambangan Swasta,Prov. Kalimantan Tengah,2003,
Kuasa Pertambangan Swasta,Prov. Kalimantan Tengah,2004,
Kuasa Pertambangan Swasta,Prov. Kalimantan Tengah,2005,
Kuasa Pertambangan Swasta,Prov. Kalimantan Tengah,2006,
Kuasa Pertambangan Swasta,Prov. Kalimantan Tengah,2007,
